,motorspeed,Šp‘¬“x,,,,,,motorSpeed,,,,,,,Šp‘¬“x
18354,-14,1144.849335,,,24410,,-2700.84557,132,,,,,,18354,1144.849335
18371,34,85.4082361,,,42524,,-2700.84557,120,,,,,,18371,85.4082361
18397,76,-323.2407269,,,43194,,-2700.84557,130,,,,,,18397,-323.2407269
18410,109,-1080.259483,,,43549,,-2700.84557,123,,,,,,18410,-1080.259483
18424,137,-1855.442269,,,47595,,-2700.84557,152,,,,,,18424,-1855.442269
18438,144,-2614.49942,,,54067,,-2700.84557,156,,,,,,18438,-2614.49942
18457,149,-2817.418988,,,14749,,-2671.959675,150,,,,,,18457,-2817.418988
18474,137,-2965.426073,,,29340,,-2671.959675,149,,,,,,18474,-2965.426073
18488,110,-2614.49942,,,34106,,-2671.959675,139,,,,,,18488,-2614.49942
18501,62,-1881.034352,,,34114,,-2671.959675,144,,,,,,18501,-1881.034352
18520,-7,-795.9673128,,,40249,,-2671.959675,123,,,,,,18520,-795.9673128
18554,-78,30.19637146,,,51591,,-2671.959675,150,,,,,,18554,30.19637146
18591,-149,1123.180625,,,18438,,-2614.49942,144,,,,,,18591,1123.180625
18606,-305,2965.426073,,,18488,,-2614.49942,110,,,,,,18606,2965.426073
18620,-277,8684.752736,,,46776,,-2614.49942,154,,,,,,18620,8684.752736
18633,-99,7516.702342,,,54053,,-2614.49942,140,,,,,,18633,7516.702342
18652,-4,1606.055286,,,15087,,-2585.925815,275,,,,,,18652,1606.055286
18668,44,13.04360643,,,15607,,-2585.925815,46,,,,,,18668,13.04360643
18683,68,-475.8682328,,,27984,,-2585.925815,154,,,,,,18683,-475.8682328
18706,-22,-914.2628397,,,42487,,-2585.925815,180,,,,,,18706,-914.2628397
18723,99,168.2448272,,,18767,,-2557.457068,115,,,,,,18723,168.2448272
18742,135,-1606.055286,,,25150,,-2557.457068,174,,,,,,18742,-1606.055286
18767,115,-2557.457068,,,29415,,-2557.457068,102,,,,,,18767,-2557.457068
18781,230,-2010.73325,,,34168,,-2557.457068,122,,,,,,18781,-2010.73325
18796,312,-5687.212466,,,44242,,-2557.457068,183,,,,,,18796,-5687.212466
18809,306,-8985.444999,,,47733,,-2557.457068,123,,,,,,18809,-8985.444999
18827,221,-8727.499626,,,54046,,-2557.457068,137,,,,,,18827,-8727.499626
18843,156,-5356.685015,,,19284,,-2500.835701,55,,,,,,18843,-5356.685015
18856,76,-3176.834545,,,28237,,-2500.835701,9,,,,,,18856,-3176.834545
18870,-1,-1080.259483,,,32992,,-2500.835701,144,,,,,,18870,-1080.259483
18890,-7,1.630450804,,,54037,,-2500.835701,135,,,,,,18890,1.630450804
18903,-8,30.19637146,,,54275,,-2500.835701,-1,,,,,,18903,30.19637146
18920,-44,36.89289023,,,24421,,-2472.683871,105,,,,,,18920,36.89289023
18934,-140,475.8682328,,,32983,,-2472.683871,133,,,,,,18934,475.8682328
18951,-193,2700.84557,,,34097,,-2472.683871,139,,,,,,18951,2700.84557
18966,-187,4371.632668,,,51276,,-2472.683871,174,,,,,,18966,4371.632668
18980,-160,4169.366849,,,28954,,-2416.699919,150,,,,,,18980,4169.366849
18993,-143,3299.800417,,,34073,,-2416.699919,132,,,,,,18993,3299.800417
19011,-200,2788.121885,,,43209,,-2416.699919,149,,,,,,19011,2788.121885
19029,-264,4611.611278,,,17174,,-2388.868614,143,,,,,,19029,4611.611278
19042,-228,6993.806131,,,24398,,-2388.868614,140,,,,,,19042,6993.806131
19066,-52,5613.192931,,,43187,,-2388.868614,140,,,,,,19066,5613.192931
19079,-12,611.3820933,,,19640,,-2333.52942,228,,,,,,19079,611.3820933
19092,28,67.77656714,,,20580,,-2333.52942,55,,,,,,19092,67.77656714
19108,73,-241.5709717,,,43494,,-2333.52942,115,,,,,,19108,-241.5709717
19128,90,-1016.932177,,,43581,,-2333.52942,116,,,,,,19128,-1016.932177
19142,103,-1392.103301,,,24139,,-2306.022375,166,,,,,,19142,-1392.103301
19156,142,-1704.368646,,,33047,,-2306.022375,93,,,,,,19156,-1704.368646
19170,233,-2758.92704,,,39872,,-2306.022375,152,,,,,,19170,-2758.92704
19197,329,-5798.846071,,,39887,,-2306.022375,85,,,,,,19197,-5798.846071
