,motorSpeed
2787.425134,-67
2787.425134,-62
2787.425134,-68
2787.425134,-59
2787.425134,-51
2787.425134,-51
2787.425134,-64
2787.425134,-14
2787.425134,1
2787.425134,21
2787.425134,46
2787.425134,67
2787.425134,26
2787.425134,32
2787.425134,29
2787.425134,19
2787.425134,-13
2787.425134,-37
2787.425134,-34
2787.425134,-23
2787.425134,-11
2787.425134,-10
2787.425134,-13
2787.425134,-18
2787.425134,-23
2787.425134,-27
2787.425134,-20
2787.425134,-13
2787.425134,-7
2787.425134,-8
2787.425134,0
2787.425134,-15
2787.425134,-13
2787.425134,-20
2787.425134,-13
2787.425134,-15
2787.425134,-24
