ŽžŠÔ,motorSpeed,Šp‘¬“x
30397,7,-46.872164
30414,7,-27.45124618
30425,6,-27.45124618
30452,2,-21.78421327
30476,-4,-4.192373798
30512,-3,11.85782377
30536,0,7.701882463
30570,-1,0
30590,-6,1.482227971
30602,-10,21.78421327
30617,-13,46.872164
30630,-16,69.47523637
30650,-19,94.86259015
30662,-20,122.7567568
30679,-24,132.5745001
30692,-30,174.2737062
30710,-34,243.5549085
30723,-16,293.8551999
30743,42,94.86259015
30783,63,-403.4492757
30798,34,-741.183647
30811,47,-293.8551999
30824,64,-477.5972214
30841,32,-758.9007212
30856,-33,-268.3119231
30872,-64,280.9867974
30901,-38,758.9007212
30923,-98,347.2085407
30938,-168,1437.984213
30962,-125,3227.594206
30974,9,2071.476563
30990,50,-40.02015522
31003,56,-524.0467248
31022,61,-621.1507945
31035,155,-706.1708024
31049,246,-2860.30636
31062,259,-5718.967983
31082,165,-6178.238233
31095,71,-3141.527899
31108,-7,-886.7527166
31123,-24,27.45124618
31140,0,174.2737062
31152,7,0
31167,-11,-27.45124618
31183,-162,54.07593437
31200,-269,3056.240499
31214,-236,6539.483142
31238,-146,5373.818685
31260,-87,2614.834993
31274,-43,1202.801285
31290,-38,417.9436084
31302,-38,347.2085407
31320,-34,347.2085407
31333,57,293.8551999
31351,151,-637.8628193
31364,151,-2750.302259
31380,107,-2750.302259
31393,73,-1640.554533
31409,100,-924.4837775
31421,154,-1482.227971
31440,138,-2832.67067
31453,32,-2402.888584
31470,-20,-268.3119231
31485,7,132.5745001
31504,-20,-27.45124618
31522,-104,132.5745001
31535,-139,1572.045144
31548,-208,2429.054197
31566,-290,4446.415128
31581,-297,7320.015513
31594,-225,7586.64353
31607,-80,5002.519402
31624,-24,1060.596
31637,7,174.2737062
31655,44,-27.45124618
31668,49,-432.607475
31685,47,-508.4041941
31701,97,-477.5972214
31715,218,-1416.030494
31727,293,-4770.893753
31745,275,-7433.895214
31758,171,-6759.491797
31774,201,-3314.432434
31787,293,-4223.855873
31804,255,-7433.895214
31816,187,-6035.667061
31832,110,-3790.333417
31846,59,-1710.031192
31880,17,-671.7273356
31895,3,-103.8935023
31908,-90,-7.701882463
31924,-190,1265.548428
31945,-227,3881.909497
31966,-156,5069.367665
32000,-200,2888.031342
32040,-287,4192.373798
32063,-223,7206.723331
32086,7,4935.967587
32122,-24,-27.45124618
32147,29,174.2737062
32184,148,-231.4792153
32208,235,-2668.748066
32242,118,-5339.699265
32280,201,-1899.931816
32303,103,-4223.855873
32326,-151,-1549.426008
32362,-156,2750.302259
32386,-185,2888.031342
32408,-193,3729.688807
32442,-50,3974.21143
32464,-23,524.0467248
32488,-27,163.4958595
32523,6,207.9508265
32563,42,-21.78421327
32590,96,-403.4492757
32613,179,-1394.189649
32635,295,-3549.723707
32669,162,-7510.139923
32693,26,-3056.240499
32718,-21,-196.5056431
32753,-139,142.6408594
32776,-185,2429.054197
32811,-199,3729.688807
32834,-281,4160.970331
32856,-41,6981.913829
32893,2,389.1264837
32952,6,-4.192373798
32973,70,-21.78421327
32996,74,-868.0846255
33031,212,-943.5449274
33053,130,-4575.291784
33076,3,-2196.999879
33111,-172,-7.701882463
33134,-151,3343.548867
33158,-23,2750.302259
33193,39,163.4958595
33217,13,-361.0039178
33251,57,-69.47523637
33273,-24,-637.8628193
33310,91,174.2737062
33333,93,-1286.699384
33354,134,-1329.350268
33375,108,-2299.175919
33398,46,-1663.606612
33431,-9,-462.4361237
33455,-24,40.02015522
33478,17,174.2737062
33514,5,-103.8935023
33536,26,-16.57181251
33557,29,-196.5056431
33591,30,-231.4792153
33613,29,-243.5549085
33634,19,-231.4792153
33655,17,-122.7567568
33676,22,-103.8935023
33711,23,-152.9498396
33735,23,-163.4958595
33754,29,-163.4958595
33777,19,-231.4792153
33798,17,-122.7567568
33832,22,-103.8935023
33853,13,-152.9498396
33873,16,-69.47523637
33895,15,-94.86259015
33916,9,-86.10966371
33937,6,-40.02015522
33969,6,-21.78421327
33977,6,-21.78421327
33990,9,-21.78421327
34010,7,-40.02015522
34022,3,-27.45124618
34033,2,-7.701882463
34043,2,-4.192373798
34051,3,-4.192373798
34070,6,-7.701882463
34082,10,-21.78421327
34093,10,-46.872164
34102,9,-46.872164
34112,6,-40.02015522
34130,5,-21.78421327
34142,3,-16.57181251
34152,2,-7.701882463
34162,2,-4.192373798
34171,0,-4.192373798
34190,0,0
34196,0,0
34205,0,0
34212,0,0
34219,0,0
34226,0,0
34232,0,0
34250,0,0
34257,2,0
34268,0,-4.192373798
34278,0,0
34284,0,0
34292,0,0
34310,0,0
34316,0,0
34325,0,0
34331,0,0
34338,0,0
34344,0,0
34351,0,0
34357,-1,0
34371,0,1.482227971
34382,0,0
34388,7,0
34398,3,-27.45124618
34408,6,-7.701882463
34418,5,-21.78421327
34433,5,-16.57181251
34443,5,-16.57181251
34452,3,-16.57181251
34462,5,-7.701882463
34473,3,-16.57181251
34491,6,-7.701882463
34504,5,-21.78421327
34514,2,-16.57181251
34524,0,-4.192373798
34535,-1,0
34550,-3,1.482227971
34562,-3,7.701882463
34571,-1,7.701882463
34580,0,1.482227971
34588,0,0
34595,0,0
34610,0,0
34616,0,0
34630,0,0
34637,2,0
34653,2,-4.192373798
34670,2,-4.192373798
34678,6,-4.192373798
34690,9,-21.78421327
34701,9,-40.02015522
34710,9,-40.02015522
34730,7,-40.02015522
34742,2,-27.45124618
34752,0,-4.192373798
34761,-1,0
34771,0,1.482227971
34790,0,0
34796,0,0
34805,-1,0
34815,0,1.482227971
34823,0,0
34830,0,0
34836,2,0
34850,2,-4.192373798
34858,3,-4.192373798
34870,2,-7.701882463
34880,0,-4.192373798
34890,0,0
34897,0,0
34910,2,0
34921,3,-4.192373798
34940,3,-7.701882463
34954,2,-7.701882463
34972,2,-4.192373798
34981,2,-4.192373798
34992,3,-4.192373798
35002,5,-7.701882463
35013,5,-16.57181251
35029,5,-16.57181251
35038,5,-16.57181251
35047,5,-16.57181251
35058,5,-16.57181251
35066,5,-16.57181251
35075,5,-16.57181251
35090,3,-16.57181251
35101,0,-7.701882463
35114,2,0
35124,2,-4.192373798
35151,2,-4.192373798
35169,6,-4.192373798
35184,5,-21.78421327
35235,5,-16.57181251
35254,5,-16.57181251
35276,5,-16.57181251
35317,5,-16.57181251
35336,6,-16.57181251
